Fecha,ClaveEstado,Estado,NivelSemaforo
27/09/2021,25,Sinaloa,1
28/09/2021,25,Sinaloa,1
29/09/2021,25,Sinaloa,1
30/09/2021,25,Sinaloa,1
01/10/2021,25,Sinaloa,1
02/10/2021,25,Sinaloa,1
03/10/2021,25,Sinaloa,1
20/09/2021,26,Sonora,2
21/09/2021,26,Sonora,2
22/09/2021,26,Sonora,2
23/09/2021,26,Sonora,2
24/09/2021,26,Sonora,2
25/09/2021,26,Sonora,2
26/09/2021,26,Sonora,2
27/09/2021,26,Sonora,2
28/09/2021,26,Sonora,2
29/09/2021,26,Sonora,2
30/09/2021,26,Sonora,2
01/10/2021,26,Sonora,2
02/10/2021,26,Sonora,2
03/10/2021,26,Sonora,2
20/09/2021,27,Tabasco,3
21/09/2021,27,Tabasco,3
22/09/2021,27,Tabasco,3
23/09/2021,27,Tabasco,3
24/09/2021,27,Tabasco,3
25/09/2021,27,Tabasco,3
26/09/2021,27,Tabasco,3
27/09/2021,27,Tabasco,3
28/09/2021,27,Tabasco,3
29/09/2021,27,Tabasco,3
30/09/2021,27,Tabasco,3
01/10/2021,27,Tabasco,3
02/10/2021,27,Tabasco,3
03/10/2021,27,Tabasco,3
20/09/2021,28,Tamaulipas,3
21/09/2021,28,Tamaulipas,3
22/09/2021,28,Tamaulipas,3
23/09/2021,28,Tamaulipas,3
24/09/2021,28,Tamaulipas,3
25/09/2021,28,Tamaulipas,3
26/09/2021,28,Tamaulipas,3
27/09/2021,28,Tamaulipas,3
28/09/2021,28,Tamaulipas,3
29/09/2021,28,Tamaulipas,3
30/09/2021,28,Tamaulipas,3
01/10/2021,28,Tamaulipas,3
02/10/2021,28,Tamaulipas,3
03/10/2021,28,Tamaulipas,3
20/09/2021,29,Tlaxcala,2
21/09/2021,29,Tlaxcala,2
22/09/2021,29,Tlaxcala,2
23/09/2021,29,Tlaxcala,2
24/09/2021,29,Tlaxcala,2
25/09/2021,29,Tlaxcala,2
26/09/2021,29,Tlaxcala,2
27/09/2021,29,Tlaxcala,2
28/09/2021,29,Tlaxcala,2
29/09/2021,29,Tlaxcala,2
30/09/2021,29,Tlaxcala,2
01/10/2021,29,Tlaxcala,2
02/10/2021,29,Tlaxcala,2
